,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
849,80,RL,80.0,9600.0,Pave,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,SLvl,6,7,1976.0,1994,Hip,CompShg,Plywood,Plywood,BrkFace,360.0,Gd,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0,528.0,528.0,GasA,Ex,Y,SBrkr,1094.0,761.0,0,1855.0,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,RFn,2,512.0,TA,TA,Y,113.0,100.0,0,0,0,0,Missing,Missing,0,8,2007,WD,Normal,187000
1260,60,RL,70.0,23830.5,Pave,Grvl,IR3,Lvl,AllPub,CulDSac,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,6,5,1999.0,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,841.0,841.0,GasA,Ex,Y,SBrkr,892.0,783.0,0,1675.0,0,0,2,1,3,1,TA,7,Typ,1,TA,BuiltIn,1999.0,Fin,2,502.0,TA,TA,Y,0.0,103.0,0,0,0,0,Missing,Missing,0,6,2009,WD,Normal,181000
787,60,RL,76.0,10142.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004.0,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,656.0,Unf,0,300.0,956.0,GasA,Ex,Y,SBrkr,956.0,1128.0,0,2084.0,1,0,2,1,4,1,Gd,8,Typ,0,Missing,BuiltIn,2004.0,RFn,2,618.0,TA,TA,Y,0.0,45.0,0,0,0,0,Missing,Missing,0,1,2010,WD,Normal,233000
352,50,RL,60.0,9084.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941.0,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,Fa,Mn,LwQ,236.0,Rec,380,0.0,616.0,GasA,TA,N,SBrkr,616.0,495.0,0,1111.0,0,1,1,0,3,1,TA,5,Typ,0,Missing,Detchd,1941.0,Unf,1,200.0,TA,Fa,Y,48.0,0.0,0,0,0,0,Missing,Missing,0,3,2008,ConLw,Normal,95000
710,30,RL,56.0,4130.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,6,1935.0,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0,270.0,270.0,GasA,Gd,Y,SBrkr,729.0,0.0,0,729.0,0,0,1,0,2,1,TA,5,Maj2,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,N,0.0,0.0,0,0,0,0,Missing,Missing,0,7,2008,WD,Normal,52000
124,20,RL,48.0,17043.0,Pave,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979.0,1998,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,Fa,No,Unf,0.0,Unf,0,1362.0,1362.0,GasA,TA,Y,SBrkr,1586.0,0.0,0,1586.0,0,0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1979.0,Unf,2,435.0,TA,TA,Y,192.0,0.0,0,0,0,0,Missing,Missing,0,1,2009,WD,Normal,181000
178,20,RL,63.0,17423.0,Pave,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2008.0,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,1904.0,Unf,0,312.0,2216.0,GasA,Ex,Y,SBrkr,2234.0,0.0,0,2234.0,1,0,2,0,1,1,Ex,9,Typ,1,Gd,Attchd,2009.0,Fin,3,1166.0,TA,TA,Y,0.0,60.0,0,0,0,0,Missing,Missing,0,7,2009,New,Partial,501837
287,20,RL,70.0,8125.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,4,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,614.0,Unf,0,244.0,858.0,GasA,TA,Y,SBrkr,858.0,0.0,0,858.0,0,0,1,0,3,1,TA,5,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,6,2006,WD,Normal,88000
1407,20,RL,70.0,8780.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,1985.0,1985,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,625.0,Unf,0,208.0,833.0,GasA,Ex,Y,SBrkr,833.0,0.0,0,833.0,1,0,1,0,3,1,TA,5,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,Y,0.0,0.0,0,0,0,0,MnPrv,Missing,0,3,2009,WD,Normal,112000
1208,20,RL,70.0,7763.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1962.0,1980,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Rec,504.0,BLQ,108,319.0,931.0,GasA,TA,Y,SBrkr,1283.0,0.0,0,1283.0,1,0,1,0,3,1,TA,6,Typ,0,Missing,Detchd,1980.0,Unf,2,506.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,10,2008,WD,Normal,140000
294,20,RL,80.0,9600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1953.0,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238.0,TA,TA,CBlock,TA,TA,No,GLQ,1285.0,Unf,0,131.0,1416.0,GasA,TA,Y,SBrkr,1644.0,0.0,0,1644.0,1,0,1,0,3,1,TA,7,Typ,2,Gd,Attchd,1953.0,Fin,2,418.0,TA,TA,Y,110.0,0.0,0,0,0,0,Missing,Missing,0,10,2009,WD,Normal,167000
327,20,RL,80.0,11600.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960.0,1960,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,175.0,TA,TA,CBlock,TA,TA,No,Rec,565.0,Unf,0,818.0,1383.0,GasA,TA,Y,SBrkr,1383.0,0.0,0,1383.0,0,0,1,1,3,1,TA,7,Typ,0,Missing,Attchd,1960.0,RFn,1,292.0,TA,TA,Y,0.0,45.0,0,0,0,0,Missing,Missing,0,4,2006,WD,Normal,145250
1456,20,RL,85.0,13175.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978.0,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163,589.0,1542.0,GasA,TA,Y,SBrkr,2073.0,0.0,0,2073.0,1,0,2,0,3,1,TA,7,Min1,2,TA,Attchd,1978.0,Unf,2,500.0,TA,TA,Y,349.0,0.0,0,0,0,0,MnPrv,Missing,0,2,2010,WD,Normal,210000
841,70,RM,60.0,10440.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,8,1904.0,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0,650.0,650.0,GasA,Gd,Y,SBrkr,958.0,581.0,0,1539.0,0,0,2,0,3,1,Gd,8,Typ,1,Po,Detchd,1983.0,Unf,2,686.0,Gd,TA,P,70.0,78.0,68,0,0,0,Missing,Missing,0,6,2008,WD,Normal,157500
1121,20,RL,84.0,10084.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005.0,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0,1528.0,1552.0,GasA,Ex,Y,SBrkr,1552.0,0.0,0,1552.0,0,0,2,0,3,1,Gd,7,Typ,0,Missing,Attchd,2005.0,RFn,3,782.0,TA,TA,Y,144.0,20.0,0,0,0,0,Missing,Missing,0,7,2006,New,Partial,212900
931,20,RL,70.0,9100.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1965.0,1965,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,338.0,Rec,466,121.0,925.0,GasA,Ex,Y,SBrkr,925.0,0.0,0,925.0,0,1,1,0,2,1,TA,5,Typ,0,Missing,Detchd,1965.0,Unf,1,429.0,TA,TA,Y,0.0,0.0,0,0,0,0,GdWo,Missing,0,7,2009,WD,Normal,117500
236,20,RL,65.0,8773.0,Pave,Pave,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004.0,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,98.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,0,1390.0,1414.0,GasA,Ex,Y,SBrkr,1414.0,0.0,0,1414.0,0,0,2,0,3,1,Gd,6,Typ,0,Missing,Attchd,2004.0,RFn,2,494.0,TA,TA,Y,132.0,105.0,0,0,0,0,Missing,Missing,0,5,2010,WD,Normal,185500
88,50,C (all),105.0,8470.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915.0,1982,Hip,CompShg,Plywood,Plywood,None,0.0,Fa,Fa,CBlock,TA,Fa,No,Unf,0.0,Unf,0,1013.0,1013.0,GasA,TA,N,SBrkr,1013.0,0.0,513,1526.0,0,0,1,0,2,1,Fa,6,Typ,0,Missing,Missing,2020.0,Missing,0,0.0,Missing,Missing,N,0.0,0.0,156,0,0,0,MnPrv,Missing,0,10,2009,ConLD,Abnorml,85000
886,90,RL,70.0,8393.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1959.0,2005,Gable,CompShg,MetalSd,MetalSd,BrkFace,122.0,TA,TA,CBlock,TA,TA,No,LwQ,528.0,Unf,0,1098.0,1626.0,GasA,Ex,Y,SBrkr,1712.0,0.0,0,1712.0,0,0,2,0,4,2,TA,8,Typ,0,Missing,Attchd,2005.0,Fin,2,588.0,TA,TA,Y,272.0,54.0,0,0,0,0,Missing,Missing,0,6,2006,WD,Family,145000
552,20,RL,87.0,11146.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006.0,2006,Gable,CompShg,VinylSd,VinylSd,Stone,250.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0,1709.0,1709.0,GasA,Ex,Y,SBrkr,1717.0,0.0,0,1717.0,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,908.0,TA,TA,Y,169.0,39.0,0,0,0,0,Missing,Missing,0,7,2009,WD,Normal,255500
630,70,RM,50.0,9000.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,5,6,1880.0,1991,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,Fa,Fa,No,Unf,0.0,Unf,0,636.0,636.0,GasA,TA,Y,FuseA,1089.0,661.0,0,1750.0,0,0,1,0,3,1,Ex,8,Typ,0,Missing,Detchd,1937.0,Unf,1,240.0,Fa,Po,N,0.0,0.0,293,0,0,0,MnPrv,Missing,0,6,2006,WD,Abnorml,124000
1352,50,RM,50.0,6000.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,9,1937.0,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0,698.0,698.0,GasA,TA,Y,SBrkr,786.0,390.0,0,1176.0,0,0,1,0,2,1,TA,4,Typ,0,Missing,Detchd,1999.0,Unf,2,624.0,TA,TA,N,210.0,0.0,0,0,0,0,Missing,Missing,0,7,2009,WD,Normal,134900
665,60,RL,106.0,11194.0,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000.0,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0,1406.0,1406.0,GasA,Ex,Y,SBrkr,1454.0,482.0,0,1936.0,0,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000.0,RFn,2,504.0,TA,TA,Y,188.0,124.0,0,0,0,0,Missing,Missing,0,11,2006,WD,Normal,230500
900,20,RL,70.0,7340.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,322.0,Unf,0,536.0,858.0,GasA,TA,Y,SBrkr,858.0,0.0,0,858.0,0,0,1,0,2,1,TA,4,Typ,0,Missing,Detchd,1979.0,Unf,1,684.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,6,2007,WD,Normal,110000
290,60,RL,120.0,15611.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,8,5,2006.0,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0,1079.0,1079.0,GasA,Ex,Y,SBrkr,1079.0,840.0,0,1919.0,0,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2006.0,RFn,2,685.0,Gd,TA,Y,0.0,51.0,0,0,0,0,Missing,Missing,0,7,2006,New,Partial,233230
1382,70,RM,60.0,7200.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1920.0,1950,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0,596.0,596.0,GasA,Ex,Y,SBrkr,998.0,764.0,0,1762.0,1,0,1,1,4,1,Gd,8,Typ,0,Missing,Detchd,1989.0,Unf,2,576.0,TA,TA,N,36.0,0.0,221,0,0,0,Missing,Missing,0,10,2006,WD,Normal,157000
570,90,RL,74.0,13101.0,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1965.0,1965,Gable,CompShg,HdBoard,HdBoard,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,LwQ,231.0,Unf,0,1497.0,1728.0,GasA,TA,Y,SBrkr,1728.0,0.0,0,1728.0,0,0,2,0,6,2,TA,10,Typ,0,Missing,Detchd,1987.0,Unf,2,576.0,TA,TA,Y,0.0,0.0,0,0,0,0,Missing,Missing,0,11,2008,WD,Normal,142600
348,160,RL,36.0,2448.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003.0,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,GLQ,573.0,Unf,0,191.0,764.0,GasA,Ex,Y,SBrkr,764.0,862.0,0,1626.0,1,0,2,1,2,1,Gd,6,Typ,0,Missing,BuiltIn,2003.0,RFn,2,474.0,TA,TA,Y,0.0,27.0,0,0,0,0,Missing,Missing,0,10,2008,WD,Normal,154000
544,60,RL,58.0,17104.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006.0,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,Gd,Av,GLQ,554.0,Unf,0,100.0,654.0,GasA,Ex,Y,SBrkr,664.0,832.0,0,1496.0,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,2,426.0,TA,TA,Y,100.0,24.0,0,0,0,0,Missing,Missing,0,9,2006,New,Partial,179665
1376,30,RL,52.0,6292.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,5,1930.0,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,Gd,TA,Mn,Rec,384.0,Unf,0,384.0,768.0,GasA,TA,N,SBrkr,790.0,0.0,0,790.0,0,0,1,0,2,1,TA,4,Typ,0,Missing,Detchd,1925.0,Unf,1,160.0,Fa,TA,Y,0.0,141.0,0,0,0,0,Missing,Missing,0,4,2008,WD,Normal,91000
660,60,RL,70.0,12384.0,Pave,Pave,Reg,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,7,1976.0,1976,Gable,CompShg,Plywood,Plywood,BrkFace,233.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0,793.0,793.0,GasA,TA,Y,SBrkr,1142.0,793.0,0,1935.0,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1976.0,RFn,2,550.0,TA,TA,Y,0.0,113.0,252,0,0,0,Missing,Missing,0,11,2007,WD,Normal,197900
1111,60,RL,80.0,10480.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,7,6,1976.0,1976,Hip,CompShg,Plywood,Plywood,BrkFace,660.0,TA,TA,CBlock,TA,TA,No,ALQ,403.0,Unf,0,400.0,803.0,GasA,TA,Y,SBrkr,1098.0,866.0,0,1964.0,0,0,2,1,4,1,TA,8,Typ,1,Gd,Attchd,1976.0,RFn,2,483.0,TA,TA,Y,0.0,69.0,0,0,0,0,Missing,Missing,0,9,2008,WD,Normal,205000
458,70,RM,70.0,5100.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925.0,1996,Hip,CompShg,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,0.0,Unf,0,588.0,588.0,GasA,Fa,Y,SBrkr,833.0,833.0,0,1666.0,0,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1925.0,Unf,1,228.0,TA,TA,Y,192.0,63.0,0,0,0,0,MnPrv,Missing,0,6,2008,WD,Normal,161000
