,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1203,20,3,2.942838765545948,9.936905957087447,0,1,2,0,6,3,1,4,5,1.6265915283192642,1.4953594885511643,2000.0,2001,2,0,5,2,171.0,2,4,5,3,3,1,5,0.0,5,0,6.353998740950457,6.353998740950457,5,4,1,2,0.0,0,6.353998740950457,0,0,2,0,3,1,2,6,1,5,2000.0,1,2,3,2,74.0,234.0,0,0,0,0,4,2,0,1.7782856913330884,2009,5,3,213000
700,20,3,3.036362955906293,10.941307051719189,0,1,2,0,3,3,1,4,5,1.6817847662528045,1.4953594885511643,2002.0,2002,4,0,5,2,630.0,2,4,5,4,3,4,6,1274.0,5,0,4.789018688625051,6.513555096872983,5,4,1,2,0.0,0,6.513555096872983,1,0,2,0,3,1,2,6,1,5,2002.0,3,3,3,2,270.0,78.0,0,0,0,0,4,2,0,1.4953594885511643,2006,5,3,312500
849,80,3,2.990702258667686,9.898464527390097,0,1,1,0,3,2,1,4,4,1.5650878569588351,1.6265915283192642,1976.0,1994,4,0,3,2,360.0,2,3,2,2,3,1,5,0.0,5,0,4.793568608041404,4.793568608041404,5,4,1,2,761.0,0,6.562750947582882,0,0,2,1,3,1,1,6,1,5,1976.0,2,2,3,2,113.0,100.0,0,0,0,0,4,2,0,1.6817847662528045,2007,5,3,187000
1260,60,3,2.8925075626521703,12.424624742824225,2,1,4,0,5,6,1,4,6,1.5650878569588351,1.4953594885511643,1999.0,1999,2,0,5,1,0.0,1,4,5,3,3,1,5,0.0,5,0,5.385164807134505,5.385164807134505,5,4,1,2,783.0,0,6.3974057241978945,0,0,2,1,3,1,1,6,1,6,1999.0,3,2,3,2,0.0,103.0,0,0,0,0,4,2,0,1.5650878569588351,2009,5,3,181000
787,60,3,2.9525920815446214,10.035312650834554,1,1,2,0,3,3,1,4,6,1.6265915283192642,1.4953594885511643,2004.0,2004,2,0,5,1,0.0,2,4,5,3,3,1,6,656.0,5,0,4.161790480069846,5.560503574317708,5,4,1,2,1128.0,0,6.756537574823366,1,0,2,1,4,1,2,6,0,6,2004.0,2,2,3,2,0.0,45.0,0,0,0,0,4,2,0,1.0,2010,5,3,233000
352,50,3,2.7831636674834628,9.762684057163787,0,1,2,0,0,0,1,4,2,1.4953594885511643,1.5650878569588351,1941.0,1950,2,0,5,1,0.0,1,4,2,2,2,2,2,236.0,3,380,0.0,4.981897228968097,5,2,0,2,495.0,0,5.773361239347492,0,1,1,0,3,1,1,6,0,2,1941.0,1,1,3,2,48.0,0.0,0,0,0,0,4,2,0,1.3160927019021114,2008,0,3,95000
710,30,3,2.7355620994596337,8.016551627726226,1,1,2,0,3,3,1,4,5,1.3160927019021114,1.5650878569588351,1935.0,2003,2,0,5,1,0.0,2,4,2,2,3,1,5,0.0,5,0,4.0536033353055165,4.0536033353055165,5,3,1,2,0.0,0,5.196152422706632,0,0,1,0,2,1,1,0,0,0,2020.0,0,0,0,0,0.0,0.0,0,0,0,0,4,2,0,1.6265915283192642,2008,5,3,52000
124,20,3,2.6321474122852617,11.425795377128019,1,1,4,0,4,3,1,4,5,1.5650878569588351,1.4953594885511643,1979.0,1998,2,0,2,1,0.0,1,3,2,3,2,1,5,0.0,5,0,6.074973250969918,6.074973250969918,5,2,1,2,0.0,0,6.310673498129972,0,0,2,0,3,1,1,6,1,5,1979.0,1,2,3,2,192.0,0.0,0,0,0,0,4,2,0,1.0,2009,5,3,181000
178,20,3,2.817321422912196,11.488959918112693,1,1,4,0,3,3,1,4,5,1.7320508075688772,1.4953594885511643,2008.0,2009,4,0,5,4,748.0,3,4,5,4,3,1,6,1904.0,5,0,4.2027966879210314,6.8610786324017585,5,4,1,2,0.0,0,6.874969090839609,1,0,2,0,1,1,3,6,1,5,2009.0,3,3,3,2,0.0,60.0,0,0,0,0,4,2,0,1.6265915283192642,2009,7,5,501837
287,20,3,2.8925075626521703,9.494145564504477,1,1,0,0,2,3,1,4,5,1.4142135623730951,1.4142135623730951,1971.0,1971,2,0,2,1,0.0,1,4,2,2,3,1,1,614.0,5,0,3.952277824242623,5.41217146808931,5,2,1,2,0.0,0,5.41217146808931,0,0,1,0,3,1,1,6,0,0,2020.0,0,0,0,2,0.0,0.0,0,0,0,0,4,2,0,1.5650878569588351,2006,5,3,88000
1407,20,3,2.8925075626521703,9.67996384290768,1,1,0,0,3,3,1,4,5,1.4953594885511643,1.4953594885511643,1985.0,1985,2,0,2,1,0.0,1,4,2,2,3,1,4,625.0,5,0,3.7976571725209736,5.372308628513443,5,4,1,2,0.0,0,5.372308628513443,1,0,1,0,3,1,1,6,0,0,2020.0,0,0,0,2,0.0,0.0,0,0,0,0,2,2,0,1.3160927019021114,2009,5,3,112000
1208,20,3,2.8925075626521703,9.386580847145568,0,1,2,0,2,3,1,4,5,1.4953594885511643,1.6265915283192642,1962.0,1980,2,0,1,1,0.0,1,3,2,2,3,1,3,504.0,1,108,4.226180308505542,5.5237939860208405,5,2,1,2,0.0,0,5.984897659943735,1,0,1,0,3,1,1,6,0,2,1980.0,1,2,3,2,0.0,0.0,0,0,0,0,4,2,0,1.7782856913330884,2008,5,3,140000
294,20,3,2.990702258667686,9.898464527390097,0,1,2,0,2,3,1,4,5,1.5650878569588351,1.4953594885511643,1953.0,1953,4,0,2,4,238.0,1,4,2,2,3,1,6,1285.0,5,0,3.3831198619026197,6.134313327504555,5,2,1,2,0.0,0,6.367597663169367,1,0,1,0,3,1,1,6,2,5,1953.0,3,2,3,2,110.0,0.0,0,0,0,0,4,2,0,1.7782856913330884,2009,5,3,167000
327,20,3,2.990702258667686,10.378020042378026,0,1,2,0,2,3,1,4,5,1.5650878569588351,1.4953594885511643,1960.0,1960,4,0,0,2,175.0,1,4,2,2,3,1,3,565.0,5,0,5.347962228737223,6.098253848438913,5,2,1,2,0.0,0,6.098253848438913,0,0,1,1,3,1,1,6,0,5,1960.0,2,1,3,2,0.0,45.0,0,0,0,0,4,2,0,1.4142135623730951,2006,5,3,145250
1456,20,3,3.036362955906293,10.71365483856933,0,1,2,0,4,3,1,4,5,1.5650878569588351,1.5650878569588351,1978.0,1988,2,0,3,4,119.0,1,4,2,3,3,1,4,790.0,3,163,4.926388129248446,6.266442371872578,5,2,1,2,0.0,0,6.7476069832200505,1,0,2,0,3,1,1,3,2,5,1978.0,1,2,3,2,349.0,0.0,0,0,0,0,2,2,0,1.1892014127135908,2010,5,3,210000
841,70,1,2.7831636674834628,10.108229320706963,0,1,2,0,1,3,1,4,6,1.4953594885511643,1.6817847662528045,1904.0,2002,2,0,1,1,0.0,1,4,5,2,3,1,5,0.0,5,0,5.0492672735754445,5.0492672735754445,5,3,1,2,581.0,0,6.263393648813716,0,0,2,0,3,1,2,6,1,2,1983.0,1,2,4,1,70.0,78.0,68,0,0,0,4,2,0,1.5650878569588351,2008,5,3,157500
1121,20,3,3.027408132379908,10.020933090286553,0,1,2,0,6,3,1,4,5,1.6265915283192642,1.4953594885511643,2005.0,2006,2,0,5,2,196.0,2,4,5,3,3,3,6,24.0,5,0,6.252167624112456,6.276575499426419,5,4,1,2,0.0,0,6.276575499426419,0,0,2,0,3,1,2,6,0,5,2005.0,2,3,3,2,144.0,20.0,0,0,0,0,4,2,0,1.6265915283192642,2006,7,5,212900
931,20,3,2.8925075626521703,9.766980085983587,0,1,2,0,2,3,1,4,5,1.4953594885511643,1.5650878569588351,1965.0,1965,2,0,5,1,0.0,1,4,2,2,3,1,1,338.0,3,466,3.3166247903554,5.51487080537704,5,4,1,2,0.0,0,5.51487080537704,0,1,1,0,2,1,1,6,0,2,1965.0,1,1,3,2,0.0,0.0,0,0,0,0,1,2,0,1.6265915283192642,2009,5,3,117500
236,20,3,2.8394189546454753,9.678031824704856,0,1,1,0,6,3,1,4,5,1.6265915283192642,1.4953594885511643,2004.0,2004,2,0,5,2,98.0,2,4,5,3,3,3,6,24.0,5,0,6.105956108587746,6.132144812380086,5,4,1,2,0.0,0,6.132144812380086,0,0,2,0,3,1,2,6,0,5,2004.0,2,2,3,2,132.0,105.0,0,0,0,0,4,2,0,1.4953594885511643,2010,5,3,185500
88,50,0,3.2010935631436954,9.593362288582664,1,1,0,0,3,2,0,4,2,1.3160927019021114,1.1892014127135908,1915.0,1982,4,0,3,1,0.0,0,1,2,2,2,1,5,0.0,5,0,5.641604381733977,5.641604381733977,5,2,0,2,0.0,513,6.250119998848022,0,0,1,0,2,1,0,6,0,0,2020.0,0,0,0,0,0.0,0.0,156,0,0,0,2,2,0,1.7782856913330884,2009,3,1,85000
886,90,3,2.8925075626521703,9.571483688540663,0,1,0,0,2,3,1,1,5,1.4953594885511643,1.4953594885511643,1959.0,2005,2,0,1,2,122.0,1,4,2,2,3,1,2,528.0,5,0,5.756396442219733,6.3500944874859915,5,4,1,2,0.0,0,6.4324412162102185,0,0,2,0,4,2,1,6,0,5,2005.0,3,2,3,2,272.0,54.0,0,0,0,0,4,2,0,1.5650878569588351,2006,5,2,145000
552,20,3,3.0540792393125624,10.274950121533438,1,1,2,0,8,3,1,4,5,1.6817847662528045,1.4953594885511643,2006.0,2006,2,0,5,4,250.0,2,4,5,4,3,3,5,0.0,5,0,6.429626738777299,6.429626738777299,5,4,1,2,0.0,0,6.437134455640957,0,0,2,0,3,1,2,6,1,5,2006.0,2,3,3,2,169.0,39.0,0,0,0,0,4,2,0,1.6265915283192642,2009,5,3,255500
630,70,1,2.6591540008055192,9.740035934225297,0,1,0,0,1,0,1,4,6,1.4953594885511643,1.5650878569588351,1880.0,1991,2,0,5,1,0.0,1,4,1,1,2,1,5,0.0,5,0,5.021852247926058,5.021852247926058,5,2,1,1,661.0,0,6.467843535522484,0,0,1,0,3,1,3,6,0,2,1937.0,1,1,1,0,0.0,0.0,293,0,0,0,2,2,0,1.5650878569588351,2006,5,1,124000
1352,50,1,2.6591540008055192,8.801119247004895,0,1,2,0,3,3,1,4,2,1.5650878569588351,1.7320508075688772,1937.0,2000,2,0,1,1,0.0,2,4,1,2,3,1,5,0.0,5,0,5.140009727617255,5.140009727617255,5,2,1,2,390.0,0,5.856014002715499,0,0,1,0,2,1,1,6,0,2,1999.0,1,2,3,0,210.0,0.0,0,0,0,0,4,2,0,1.6265915283192642,2009,5,3,134900
665,60,3,3.2086757393043013,10.285995333461901,1,1,0,0,5,3,1,4,6,1.6817847662528045,1.4953594885511643,2000.0,2000,2,0,5,2,40.0,2,4,5,3,3,1,5,0.0,5,0,6.123454907158212,6.123454907158212,5,4,1,2,482.0,0,6.6332495807108,0,0,2,1,3,1,2,6,1,5,2000.0,2,2,3,2,188.0,124.0,0,0,0,0,4,2,0,1.8211534806270449,2006,5,3,230500
900,20,3,2.8925075626521703,9.256014261008891,1,1,2,0,2,3,1,4,5,1.4142135623730951,1.5650878569588351,1971.0,1971,2,0,2,1,0.0,1,4,2,2,3,1,4,322.0,5,0,4.811621348360656,5.41217146808931,5,2,1,2,0.0,0,5.41217146808931,0,0,1,0,2,1,1,6,0,2,1979.0,1,1,3,2,0.0,0.0,0,0,0,0,4,2,0,1.5650878569588351,2007,5,3,110000
290,60,3,3.3097582993324446,11.177835210808935,0,1,2,0,6,3,1,4,6,1.6817847662528045,1.4953594885511643,2006.0,2006,2,0,5,1,0.0,2,4,5,3,3,3,5,0.0,5,0,5.731326199057247,5.731326199057247,5,4,1,2,840.0,0,6.618640343756412,0,0,2,1,3,1,2,6,1,5,2006.0,2,2,4,2,0.0,51.0,0,0,0,0,4,2,0,1.6265915283192642,2006,7,5,233230
1382,70,1,2.7831636674834628,9.21155795726217,0,1,0,0,1,3,1,4,6,1.6265915283192642,1.6265915283192642,1920.0,1950,4,0,0,1,0.0,1,4,1,1,3,1,5,0.0,5,0,4.940961444901184,4.940961444901184,5,4,1,2,764.0,0,6.478904228339852,1,0,1,1,4,1,2,6,0,2,1989.0,1,2,3,0,36.0,0.0,221,0,0,0,4,2,0,1.7782856913330884,2006,5,3,157000
570,90,3,2.932967780252623,10.698579344941084,1,1,2,0,2,3,1,1,5,1.4953594885511643,1.4953594885511643,1965.0,1965,2,0,2,2,108.0,1,4,2,2,3,1,2,231.0,5,0,6.2202170380140265,6.447418087886034,5,2,1,2,0.0,0,6.447418087886034,0,0,2,0,6,2,1,6,0,2,1987.0,1,2,3,2,0.0,0.0,0,0,0,0,4,2,0,1.8211534806270449,2008,5,3,142600
348,160,3,2.449489742783178,7.0340102359891405,0,1,2,0,8,3,1,2,6,1.6265915283192642,1.4953594885511643,2003.0,2004,2,0,5,4,106.0,2,4,5,3,3,1,6,573.0,5,0,3.7175664082837847,5.257423323263972,5,4,1,2,862.0,0,6.3500944874859915,1,0,2,1,2,1,2,6,0,6,2003.0,2,2,3,2,0.0,27.0,0,0,0,0,4,2,0,1.7782856913330884,2008,5,3,154000
544,60,3,2.759673893778031,11.43600891919904,1,1,2,0,5,3,1,4,6,1.6265915283192642,1.4953594885511643,2006.0,2006,2,0,5,1,0.0,2,4,5,3,4,3,6,554.0,5,0,3.1622776601683795,5.057014929778239,5,4,1,2,832.0,0,6.2191800102585875,1,0,2,1,3,1,2,6,1,5,2006.0,2,2,3,2,100.0,24.0,0,0,0,0,4,2,0,1.7320508075688772,2006,7,5,179665
1376,30,3,2.685349139311312,8.90629552619943,0,0,2,0,3,3,1,4,5,1.5650878569588351,1.4953594885511643,1930.0,1950,2,0,0,1,0.0,1,4,1,3,3,2,3,384.0,5,0,4.426725652217449,5.2642948245705234,5,2,0,2,0.0,0,5.301594099891088,0,0,1,0,2,1,1,6,0,2,1925.0,1,1,1,2,0.0,141.0,0,0,0,0,4,2,0,1.4142135623730951,2008,5,3,91000
660,60,3,2.8925075626521703,10.549094747891877,0,1,4,0,4,3,1,4,6,1.6265915283192642,1.6265915283192642,1976.0,1976,2,0,3,2,233.0,1,4,2,3,3,1,5,0.0,5,0,5.30662793118191,5.30662793118191,5,2,1,2,793.0,0,6.632390217711863,0,0,2,1,3,1,1,6,1,5,1976.0,2,2,3,2,0.0,113.0,252,0,0,0,4,2,0,1.8211534806270449,2007,5,3,197900
1111,60,3,2.990702258667686,10.117899979738876,0,1,2,0,4,3,1,4,6,1.6265915283192642,1.5650878569588351,1976.0,1976,4,0,3,2,660.0,1,4,2,2,3,1,4,403.0,5,0,4.47213595499958,5.323279064636759,5,2,1,2,866.0,0,6.6571014713612415,0,0,2,1,4,1,1,6,1,5,1976.0,2,2,3,2,0.0,69.0,0,0,0,0,4,2,0,1.7320508075688772,2008,5,3,205000
458,70,1,2.8925075626521703,8.450698196007238,0,1,2,0,1,3,1,4,6,1.6817847662528045,1.6265915283192642,1925.0,1996,4,0,4,1,0.0,1,3,5,2,3,1,5,0.0,5,0,4.924296904127532,4.924296904127532,5,1,1,2,833.0,0,6.388794878535387,0,0,1,0,3,1,2,6,1,2,1925.0,1,1,3,2,192.0,63.0,0,0,0,0,2,2,0,1.5650878569588351,2008,5,3,161000
1005,80,3,2.8394189546454753,9.569200593571024,0,1,2,0,6,3,1,4,4,1.4953594885511643,1.6817847662528045,1977.0,1977,2,0,2,2,220.0,2,4,2,3,4,3,6,595.0,5,0,4.443917190947643,5.602204923063775,5,2,1,2,0.0,0,5.602204923063775,0,0,2,0,3,1,1,6,0,5,1977.0,1,1,3,2,210.0,0.0,0,0,0,0,4,2,0,1.8211534806270449,2008,5,3,149900
333,120,1,2.7714797491592824,9.515398047375632,0,1,3,0,8,3,1,3,5,1.6265915283192642,1.4953594885511643,2004.0,2004,2,0,5,4,146.0,2,4,5,3,3,3,6,720.0,5,0,5.025803418360094,6.070510686919183,5,4,1,2,0.0,0,6.070510686919183,1,0,2,0,2,1,2,6,1,5,2004.0,2,2,3,2,192.0,30.0,0,0,0,0,4,2,0,1.6265915283192642,2008,5,3,207000
721,120,1,2.8925075626521703,8.156482084820636,0,1,2,0,6,3,1,3,5,1.5650878569588351,1.4953594885511643,2004.0,2004,2,0,5,2,169.0,2,4,5,3,3,3,6,662.0,5,0,3.6929933658212817,5.396332087631374,5,4,1,2,0.0,0,5.396332087631374,1,0,1,0,1,1,2,6,0,5,2004.0,2,2,3,2,160.0,0.0,0,0,0,0,4,2,0,1.4953594885511643,2010,5,3,143000
1289,60,3,3.0452586097078846,10.25623225166045,1,1,2,0,8,3,1,4,6,1.6817847662528045,1.4953594885511643,2006.0,2006,2,0,5,4,788.0,2,4,5,3,3,2,5,0.0,5,0,5.739276957945139,5.739276957945139,5,4,1,2,850.0,0,6.662184326480317,0,0,2,1,3,1,3,6,1,6,2006.0,3,3,3,2,177.0,74.0,0,0,0,0,4,2,0,1.7782856913330884,2006,7,5,281000
678,20,3,2.990702258667686,10.432166601430405,1,1,2,0,3,3,1,4,5,1.6817847662528045,1.4953594885511643,2008.0,2008,4,0,5,4,464.0,2,4,5,4,3,2,5,0.0,5,0,6.725526001733991,6.725526001733991,5,4,1,2,0.0,0,6.725526001733991,0,0,2,1,3,1,2,6,1,5,2008.0,3,3,3,2,322.0,82.0,0,0,0,0,4,2,0,1.6265915283192642,2009,7,5,372500
1354,60,3,2.8925075626521703,10.078080174318915,1,1,2,0,6,3,1,4,6,1.6265915283192642,1.4953594885511643,2000.0,2000,2,0,5,1,0.0,2,4,5,3,3,1,6,735.0,5,0,4.003898100601463,5.612129720524997,5,4,1,2,873.0,0,6.571575153644672,1,0,2,1,3,1,2,6,1,5,2000.0,2,3,3,2,0.0,184.0,0,0,0,0,4,2,0,1.5650878569588351,2008,5,3,235000
328,75,3,2.8925075626521703,10.44184370693222,1,0,2,0,3,8,1,4,3,1.5650878569588351,1.5650878569588351,1916.0,1994,2,0,0,1,0.0,1,4,1,2,3,1,5,0.0,5,0,5.389962894120886,5.389962894120886,5,3,0,1,689.0,0,6.796705084083022,0,0,2,0,5,1,2,6,0,2,1930.0,1,2,3,2,0.0,60.0,268,0,0,0,4,2,0,1.6265915283192642,2009,5,3,214500
318,60,3,3.0800649343804425,9.97490350830523,0,2,2,1,3,3,1,4,6,1.6265915283192642,1.4953594885511643,1993.0,1993,2,0,2,2,256.0,2,4,5,3,3,4,6,987.0,5,0,4.35588108193968,6.058176293242052,5,4,1,2,1274.0,0,7.172119630904103,1,0,2,1,4,1,2,6,1,5,1993.0,2,3,3,2,340.0,60.0,144,0,0,0,4,2,0,1.4142135623730951,2009,5,3,260000
1438,20,1,3.0800649343804425,9.277063112860665,0,1,2,0,1,0,1,4,5,1.5650878569588351,1.6265915283192642,1957.0,1996,2,0,1,1,0.0,1,4,2,2,3,1,6,600.0,5,0,4.2027966879210314,5.495388976223611,5,2,1,1,0.0,0,5.929316992706664,1,0,1,0,2,1,1,6,0,5,1957.0,1,2,3,2,0.0,158.0,158,0,0,0,2,2,0,1.4142135623730951,2010,5,3,149700
908,20,3,2.8925075626521703,9.708774381970157,1,2,2,1,3,3,1,4,5,1.4953594885511643,1.4953594885511643,1983.0,1983,2,0,2,1,0.0,1,4,2,3,3,3,1,301.0,6,324,3.931869784212087,5.4216141507857225,5,2,1,2,0.0,0,5.480264592152463,1,0,1,0,2,1,1,6,0,5,1983.0,1,2,3,2,164.0,0.0,0,0,0,0,2,2,0,1.5650878569588351,2006,5,3,131000
12,20,3,2.8925075626521703,10.671321380222787,3,1,2,0,3,3,1,4,5,1.4953594885511643,1.5650878569588351,1962.0,1962,4,0,2,1,0.0,1,4,2,2,3,1,4,737.0,5,0,3.6371417349341777,5.495388976223611,5,2,1,2,0.0,0,5.495388976223611,1,0,1,0,2,1,1,6,0,2,1962.0,1,1,3,2,140.0,0.0,0,0,176,0,4,2,0,1.7320508075688772,2008,5,3,144000
171,20,3,3.445910619850724,12.424624742824225,1,1,0,0,2,3,1,4,5,1.5650878569588351,1.4953594885511643,1960.0,1960,4,0,4,4,112.0,1,4,2,2,4,4,1,639.0,5,0,4.58257569495584,5.732660813269873,5,1,1,2,0.0,0,6.379184900910148,1,0,1,0,3,1,1,6,2,5,1960.0,3,2,3,1,210.0,62.0,0,0,0,0,4,2,0,1.4953594885511643,2010,5,3,215000
260,80,3,3.3097582993324446,11.786008654332475,0,1,0,0,2,0,1,4,4,1.5650878569588351,1.4953594885511643,1962.0,1962,2,0,0,2,399.0,1,4,2,2,3,4,3,672.0,6,690,0.0,6.074973250969918,5,2,1,2,0.0,0,6.097155074294896,1,0,1,0,3,1,1,6,1,5,1991.0,1,2,3,2,0.0,0.0,252,0,0,0,1,2,0,1.4953594885511643,2009,5,3,176000
778,90,2,2.7831636674834628,9.573478991463864,0,1,2,0,3,2,1,1,5,1.4953594885511643,1.4953594885511643,1977.0,1977,2,0,3,2,320.0,1,4,0,0,1,0,0,0.0,0,0,0.0,0.0,5,2,1,2,0.0,0,6.7040584722987,0,0,2,0,4,2,1,6,2,2,1977.0,1,2,3,2,0.0,0.0,0,0,0,0,4,2,0,1.7782856913330884,2007,5,3,144000
818,80,3,2.990702258667686,9.689871000173326,0,1,2,0,3,3,1,4,4,1.5650878569588351,1.6265915283192642,1971.0,1971,2,0,2,2,80.0,1,4,2,2,3,3,6,504.0,5,0,4.74282616168883,5.6374196224868705,5,3,1,2,0.0,0,5.695129498088696,1,0,1,0,3,1,1,6,0,5,1971.0,1,2,3,2,0.0,0.0,0,0,0,0,2,2,0,1.5650878569588351,2010,5,3,155000
759,60,3,2.8394189546454753,10.521943736781717,1,1,2,0,3,3,1,4,6,1.6817847662528045,1.4953594885511643,1995.0,1995,2,0,5,2,513.0,2,4,5,3,3,3,2,56.0,6,64,5.883204908891071,6.025304971534637,5,4,1,2,1203.0,0,7.092883757682767,0,0,2,1,4,1,2,6,1,5,1995.0,2,3,3,2,222.0,98.0,0,0,0,0,4,2,0,1.8211534806270449,2007,5,3,290000
